# Gene set generated on 2025-03-05T19:18:45 using cellxgene version 1.3.0
# Input data file was data/lmna_inhouse.h5ad, which was last modified on 2025-02-19T22:38:45
gene_set_name,gene_set_description,gene_symbol,gene_description
"Pop1 high (3/5/2025, 7:18:41 PM)",,RP5-847G17.1,
"Pop1 high (3/5/2025, 7:18:41 PM)",,PLPP4,
"Pop1 high (3/5/2025, 7:18:41 PM)",,MMP2,
"Pop1 high (3/5/2025, 7:18:41 PM)",,AP000705.7,
"Pop1 high (3/5/2025, 7:18:41 PM)",,SLC7A11,
"Pop1 high (3/5/2025, 7:18:41 PM)",,FNIP2,
"Pop1 high (3/5/2025, 7:18:41 PM)",,NR4A1,
"Pop1 high (3/5/2025, 7:18:41 PM)",,NTNG1,
"Pop1 high (3/5/2025, 7:18:41 PM)",,TRABD2B,
"Pop1 high (3/5/2025, 7:18:41 PM)",,ADIPOQ,
"Pop1 high (3/5/2025, 7:18:41 PM)",,RTN1,
"Pop1 high (3/5/2025, 7:18:41 PM)",,RP11-485I9.1,
"Pop1 high (3/5/2025, 7:18:41 PM)",,CHST15,
"Pop1 high (3/5/2025, 7:18:41 PM)",,SALL3,
"Pop1 high (3/5/2025, 7:18:41 PM)",,ABI3BP,
"Pop1 high (3/5/2025, 7:18:41 PM)",,SIPA1L1,
"Pop1 high (3/5/2025, 7:18:41 PM)",,HYAL4,
"Pop1 high (3/5/2025, 7:18:41 PM)",,RP11-120D5.1,
"Pop1 high (3/5/2025, 7:18:41 PM)",,IGFBP6,
"Pop1 high (3/5/2025, 7:18:41 PM)",,SLC16A12,
"Pop1 high (3/5/2025, 7:18:41 PM)",,DLGAP1,
"Pop1 high (3/5/2025, 7:18:41 PM)",,MAMDC2,
"Pop1 high (3/5/2025, 7:18:41 PM)",,BASP1,
"Pop1 high (3/5/2025, 7:18:41 PM)",,CD96,
"Pop1 high (3/5/2025, 7:18:41 PM)",,LINC02755,
"Pop1 high (3/5/2025, 7:18:41 PM)",,RNF144B,
"Pop1 high (3/5/2025, 7:18:41 PM)",,CADPS,
"Pop1 high (3/5/2025, 7:18:41 PM)",,CTD-2297M2.1,
"Pop1 high (3/5/2025, 7:18:41 PM)",,NR2F1-AS1,
"Pop1 high (3/5/2025, 7:18:41 PM)",,SPHKAP,
"Pop2 high (3/5/2025, 7:18:41 PM)",,ANO4,
"Pop2 high (3/5/2025, 7:18:41 PM)",,PEBP4,
"Pop2 high (3/5/2025, 7:18:41 PM)",,STK32B,
"Pop2 high (3/5/2025, 7:18:41 PM)",,EPHA3,
"Pop2 high (3/5/2025, 7:18:41 PM)",,TMEM132B,
"Pop2 high (3/5/2025, 7:18:41 PM)",,RP11-457K10.1,
"Pop2 high (3/5/2025, 7:18:41 PM)",,ARHGAP18,
"Pop2 high (3/5/2025, 7:18:41 PM)",,CDC20,
"Pop2 high (3/5/2025, 7:18:41 PM)",,CASC15,
"Pop2 high (3/5/2025, 7:18:41 PM)",,RP11-909M7.3,
"Pop2 high (3/5/2025, 7:18:41 PM)",,CPNE5,
"Pop2 high (3/5/2025, 7:18:41 PM)",,MS4A7,
"Pop2 high (3/5/2025, 7:18:41 PM)",,MARCHF1,
"Pop2 high (3/5/2025, 7:18:41 PM)",,PTGFR,
"Pop2 high (3/5/2025, 7:18:41 PM)",,CD83,
"Pop2 high (3/5/2025, 7:18:41 PM)",,LINC00377,
"Pop2 high (3/5/2025, 7:18:41 PM)",,CTB-30L5.2,
"Pop2 high (3/5/2025, 7:18:41 PM)",,TPSD1,
"Pop2 high (3/5/2025, 7:18:41 PM)",,FGF5,
"Pop2 high (3/5/2025, 7:18:41 PM)",,LINC02398,
"Pop2 high (3/5/2025, 7:18:41 PM)",,GLIS1,
"Pop2 high (3/5/2025, 7:18:41 PM)",,RP11-557H15.4,
"Pop2 high (3/5/2025, 7:18:41 PM)",,CNBD1,
"Pop2 high (3/5/2025, 7:18:41 PM)",,PXDNL,
"Pop2 high (3/5/2025, 7:18:41 PM)",,KCNE4,
"Pop2 high (3/5/2025, 7:18:41 PM)",,CLMN,
"Pop2 high (3/5/2025, 7:18:41 PM)",,STK33,
